"","q01","q02","q03","q05","party_registered","q06","q06a","q06b","q07","q16","q24","q36","q37","q38","q39","q40","q45","q46","q46a","q46b","d1","d1a","d2","d3","d4","d4a","d5","d5a","d6","d7","d8","d9","d9a","d10","d10a","d11","county","language","gender","weight","pres_ticketpref","year"
"1","wrong direction","bad times","no","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat liberal","fair amount","always","yes",18,"18 to 24","own",0,"yes","Have kids, public schools","full-time employed",NA,"married","Some high school or less","Hispanic or Latino","yes",NA,"no religion (includes: not a believer, not religious, atheis",NA,"$20,000 to under $40,000","Fresno         ","English","Male",1.79273926054343,"Democratic",2008
"2","wrong direction","bad times","yes, moderate recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","most of the time","a few big interests","some","somewhat liberal","great deal","always","yes",22,"18 to 24","rent",0,"no","Do not have kids","part-time employed",NA,"never married","Some college","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","no, would not","Under $20,000","Butte          ","English","Male",1.79273926054343,"Democratic",2008
"3","right direction","bad times","yes, moderate recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat liberal","great deal","nearly always","yes",30,"25 to 34","rent",3,"no","Do not have kids","part-time employed",NA,"never married","College graduate","Black or African American","yes",NA,"no religion (includes: not a believer, not religious, atheis",NA,"$80,000 to under $100,000","Butte          ","English","Male",1.79273926054343,"Democratic",2008
"4","wrong direction","bad times","yes, serious recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","approve","disapprove","disapprove","most of the time","a few big interests","a lot","somewhat liberal","great deal","always","yes",28,"25 to 34","own",3,"no","Do not have kids","full-time employed",NA,"married","Some college","[VOL] Other (SPECIFY)","yes",NA,"Catholic","no, would not","$100,000 to under $200,000","Placer         ","English","Male",1.79273926054343,"Democratic",2008
"5","wrong direction","[VOL] don't know","yes, serious recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat liberal","great deal","[VOL] don't know","yes",32,"25 to 34","own",4,"yes","Have kids, private schools","full-time employed",NA,"married","College graduate","Black or African American","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","yes, would","$100,000 to under $200,000","Sacramento     ","English","Male",1.79273926054343,"Democratic",2008
"6","wrong direction","bad times","yes, moderate recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","fairly closely","approve","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat liberal","only a little","always","yes",30,"25 to 34","own",3,"yes","Have kids, public schools","full-time employed",NA,"married","Some high school or less","Hispanic or Latino","no","yes, U.S. citizen","Catholic","no, would not","$20,000 to under $40,000","Glenn          ","Spanish","Male",1.79273926054343,"Democratic",2008
"7","wrong direction","[VOL] don't know","yes, mild recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","fairly closely","[VOL] don't know","disapprove","approve","only some of the time","a few big interests","a lot","middle-of-the-road","only a little","always","yes",31,"25 to 34","rent",1,"no","Do not have kids","full-time employed",NA,"never married","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"Protestant (INCL: Baptist, Lutheran, Methodist, Presbyterian","no, would not",NA,"Fresno         ","English","Male",1.79273926054343,"Democratic",2008
"8","wrong direction","bad times","no","yes","Democrat",2,0,0,"John McCain and Sarah Palin","very closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","middle-of-the-road","fair amount","nearly always","yes",42,"35 to 44","own",17,"yes","Have kids, public schools","full-time employed",NA,"married","College graduate","Asian","yes",NA,"Catholic","yes, would","$200,000 or more","Sacramento     ","English","Male",1.18021645961734,"Democratic",2008
"9","wrong direction","bad times","yes, serious recession","yes","Democrat",2,0,0,"Barack Obama and Joe Biden","very closely","disapprove","disapprove","disapprove","only some of the time","a few big interests","a lot","somewhat liberal","great deal","always","yes",43,"35 to 44","own",3,"yes","Have kids, public schools","full-time employed",NA,"married","College graduate","Hispanic or Latino","yes",NA,"Catholic","no, would not","$60,000 to under $80,000","Butte          ","English","Male",1.18021645961734,"Democratic",2008
"10","wrong direction","bad times","yes, moderate recession","yes","Democrat",1,0,0,"Barack Obama and Joe Biden","very closely","approve","disapprove","approve","most of the time","benefit of all of the people","some","somewhat liberal","fair amount","always","yes",42,"35 to 44","own",4,"yes","Have kids, public schools","full-time employed",NA,"married","College graduate","Caucasian or White And Non-Hispanic","yes",NA,"Catholic","no, would not","$100,000 to under $200,000","Sacramento     ","English","Male",1.18021645961734,"Democratic",2008
